0001,Sprigatito
0002,Floragato
0003,Meowscarada
0004,Fuecoco
0005,Crocalor
0006,Skeledirge
0007,Quaxly
0008,Quaxwell
0009,Quaquaval
0010,Lechonk
0011,Oinkologne
0012,Tarountula
0013,Spidops
0014,Nymble
0015,Lokix
0016,Hoppip
0017,Skiploom
0018,Jumpluff
0019,Fletchling
0020,Fletchinder
0021,Talonflame
0022,Pawmi
0023,Pawmo
0024,Pawmot
0025,Houndour
0026,Houndoom
0027,Yungoos
0028,Gumshoos
0029,Skwovet
0030,Greedent
0031,Sunkern
0032,Sunflora
0033,Kricketot
0034,Kricketune
0035,Scatterbug
0036,Spewpa
0037,Vivillon
0038,Combee
0039,Vespiquen
0040,Rookidee
0041,Corvisquire
0042,Corviknight
0043,Happiny
0044,Chansey
0045,Blissey
0046,Azurill
0047,Marill
0048,Azumarill
0049,Surskit
0050,Masquerain
0051,Buizel
0052,Floatzel
0053,Wooper
0054,Clodsire
0055,Psyduck
0056,Golduck
0057,Chewtle
0058,Drednaw
0059,Igglybuff
0060,Jigglypuff
0061,Wigglytuff
0062,Ralts
0063,Kirlia
0064,Gardevoir
0065,Gallade
0066,Drowzee
0067,Hypno
0068,Gastly
0069,Haunter
0070,Gengar
0071,Tandemaus
0072,Maushold
0073,Pichu
0074,Pikachu
0075,Raichu
0076,Fidough
0077,Dachsbun
0078,Slakoth
0079,Vigoroth
0080,Slaking
0081,Bounsweet
0082,Steenee
0083,Tsareena
0084,Smoliv
0085,Dolliv
0086,Arboliva
0087,Bonsly
0088,Sudowoodo
0089,Rockruff
0090,Lycanroc
0091,Rolycoly
0092,Carkol
0093,Coalossal
0094,Shinx
0095,Luxio
0096,Luxray
0097,Starly
0098,Staravia
0099,Staraptor
0100,Oricorio
0101,Mareep
0102,Flaaffy
0103,Ampharos
0104,Petilil
0105,Lilligant
0106,Shroomish
0107,Breloom
0108,Applin
0109,Flapple
0110,Appletun
0111,Spoink
0112,Grumpig
0113,Squawkabilly
0114,Misdreavus
0115,Mismagius
0116,Makuhita
0117,Hariyama
0118,Crabrawler
0119,Crabominable
0120,Salandit
0121,Salazzle
0122,Phanpy
0123,Donphan
0124,Cufant
0125,Copperajah
0126,Gible
0127,Gabite
0128,Garchomp
0129,Nacli
0130,Naclstack
0131,Garganacl
0132,Wingull
0133,Pelipper
0134,Magikarp
0135,Gyarados
0136,Arrokuda
0137,Barraskewda
0138,Basculin
0139,Gulpin
0140,Swalot
0141,Meowth
0142,Persian
0143,Drifloon
0144,Drifblim
0145,Flabébé
0146,Floette
0147,Florges
0148,Diglett
0149,Dugtrio
0150,Torkoal
0151,Numel
0152,Camerupt
0153,Bronzor
0154,Bronzong
0155,Axew
0156,Fraxure
0157,Haxorus
0158,Mankey
0159,Primeape
0160,Annihilape
0161,Meditite
0162,Medicham
0163,Riolu
0164,Lucario
0165,Charcadet
0166,Armarouge
0167,Ceruledge
0168,Barboach
0169,Whiscash
0170,Tadbulb
0171,Bellibolt
0172,Goomy
0173,Sliggoo
0174,Goodra
0175,Croagunk
0176,Toxicroak
0177,Wattrel
0178,Kilowattrel
0179,Eevee
0180,Vaporeon
0181,Jolteon
0182,Flareon
0183,Espeon
0184,Umbreon
0185,Leafeon
0186,Glaceon
0187,Sylveon
0188,Dunsparce
0189,Dudunsparce
0190,Deerling
0191,Sawsbuck
0192,Girafarig
0193,Farigiraf
0194,Grimer
0195,Muk
0196,Maschiff
0197,Mabosstiff
0198,Toxel
0199,Toxtricity
0200,Dedenne
0201,Pachirisu
0202,Shroodle
0203,Grafaiai
0204,Stantler
0205,Foongus
0206,Amoonguss
0207,Voltorb
0208,Electrode
0209,Magnemite
0210,Magneton
0211,Magnezone
0212,Ditto
0213,Growlithe
0214,Arcanine
0215,Teddiursa
0216,Ursaring
0217,Zangoose
0218,Seviper
0219,Swablu
0220,Altaria
0221,Skiddo
0222,Gogoat
0223,Tauros
0224,Litleo
0225,Pyroar
0226,Stunky
0227,Skuntank
0228,Zorua
0229,Zoroark
0230,Sneasel
0231,Weavile
0232,Murkrow
0233,Honchkrow
0234,Gothita
0235,Gothorita
0236,Gothitelle
0237,Sinistea
0238,Polteageist
0239,Mimikyu
0240,Klefki
0241,Indeedee
0242,Bramblin
0243,Brambleghast
0244,Toedscool
0245,Toedscruel
0246,Tropius
0247,Fomantis
0248,Lurantis
0249,Klawf
0250,Capsakid
0251,Scovillain
0252,Cacnea
0253,Cacturne
0254,Rellor
0255,Rabsca
0256,Venonat
0257,Venomoth
0258,Pineco
0259,Forretress
0260,Scyther
0261,Scizor
0262,Heracross
0263,Flittle
0264,Espathra
0265,Hippopotas
0266,Hippowdon
0267,Sandile
0268,Krokorok
0269,Krookodile
0270,Silicobra
0271,Sandaconda
0272,Mudbray
0273,Mudsdale
0274,Larvesta
0275,Volcarona
0276,Bagon
0277,Shelgon
0278,Salamence
0279,Tinkatink
0280,Tinkatuff
0281,Tinkaton
0282,Hatenna
0283,Hattrem
0284,Hatterene
0285,Impidimp
0286,Morgrem
0287,Grimmsnarl
0288,Wiglett
0289,Wugtrio
0290,Bombirdier
0291,Finizen
0292,Palafin
0293,Varoom
0294,Revavroom
0295,Cyclizar
0296,Orthworm
0297,Sableye
0298,Shuppet
0299,Banette
0300,Falinks
0301,Hawlucha
0302,Spiritomb
0303,Noibat
0304,Noivern
0305,Dreepy
0306,Drakloak
0307,Dragapult
0308,Glimmet
0309,Glimmora
0310,Rotom
0311,Greavard
0312,Houndstone
0313,Oranguru
0314,Passimian
0315,Komala
0316,Larvitar
0317,Pupitar
0318,Tyranitar
0319,Stonjourner
0320,Eiscue
0321,Pincurchin
0322,Sandygast
0323,Palossand
0324,Slowpoke
0325,Slowbro
0326,Slowking
0327,Shellos
0328,Gastrodon
0329,Shellder
0330,Cloyster
0331,Qwilfish
0332,Luvdisc
0333,Finneon
0334,Lumineon
0335,Bruxish
0336,Alomomola
0337,Skrelp
0338,Dragalge
0339,Clauncher
0340,Clawitzer
0341,Tynamo
0342,Eelektrik
0343,Eelektross
0344,Mareanie
0345,Toxapex
0346,Flamigo
0347,Dratini
0348,Dragonair
0349,Dragonite
0350,Snom
0351,Frosmoth
0352,Snover
0353,Abomasnow
0354,Delibird
0355,Cubchoo
0356,Beartic
0357,Snorunt
0358,Glalie
0359,Froslass
0360,Cryogonal
0361,Cetoddle
0362,Cetitan
0363,Bergmite
0364,Avalugg
0365,Rufflet
0366,Braviary
0367,Pawniard
0368,Bisharp
0369,Kingambit
0370,Deino
0371,Zweilous
0372,Hydreigon
0373,Veluza
0374,Dondozo
0375,Tatsugiri
0376,Great Tusk
0377,Scream Tail
0378,Brute Bonnet
0379,Flutter Mane
0380,Slither Wing
0381,Sandy Shocks
0382,Iron Treads
0383,Iron Bundle
0384,Iron Hands
0385,Iron Jugulis
0386,Iron Moth
0387,Iron Thorns
0388,Frigibax
0389,Arctibax
0390,Baxcalibur
0391,Gimmighoul
0392,Gholdengo
0393,Wo-Chien
0394,Chien-Pao
0395,Ting-Lu
0396,Chi-Yu
0397,Roaring Moon
0398,Iron Valiant
0399,Koraidon
0400,Miraidon